LSOA_ID,traffic_signals,surveillance,traffic_sign,total_facilities,Road_Length,total_per_km
E01000037,0.0,0.0,0.0,0.0,3993.558839,0.0
E01000038,0.0,0.0,0.0,0.0,3932.700627,0.0
E01000039,0.0,0.0,0.0,0.0,5535.827651,0.0
E01000040,5.0,0.0,0.0,5.0,2919.52927,1.712604854275018
E01000041,2.0,0.0,0.0,2.0,2247.204594,0.8899946205788151
E01000042,1.0,0.0,0.0,1.0,4466.692914,0.22387928144012095
E01000043,6.0,0.0,0.0,6.0,4407.431849,1.3613369884236184
E01000044,0.0,0.0,0.0,0.0,3102.329611,0.0
E01000045,13.0,0.0,0.0,13.0,5913.621001,2.198314703935488
E01000046,0.0,0.0,0.0,0.0,2123.60381,0.0
E01000049,0.0,0.0,0.0,0.0,3038.641641,0.0
E01000050,2.0,0.0,0.0,2.0,2783.273618,0.7185782910690457
E01000051,2.0,0.0,0.0,2.0,1078.66519,1.8541434529837755
E01000052,2.0,0.0,0.0,2.0,4364.259465,0.458267895398836
E01000053,8.0,1.0,0.0,9.0,3500.918687,2.570753794830997
E01000054,0.0,0.0,0.0,0.0,2337.341902,0.0
E01000055,0.0,0.0,0.0,0.0,1815.582257,0.0
E01000056,1.0,0.0,0.0,1.0,2903.410284,0.344422559054351
E01000057,0.0,0.0,0.0,0.0,2630.187302,0.0
E01000058,2.0,0.0,0.0,2.0,2614.188329,0.7650558216534674
E01000059,0.0,0.0,0.0,0.0,2608.342136,0.0
E01000060,4.0,0.0,0.0,4.0,6743.499526,0.5931638290442136
E01000061,6.0,0.0,0.0,6.0,4248.960761,1.4121100046562653
E01000062,0.0,0.0,0.0,0.0,5436.003816,0.0
E01000063,3.0,0.0,0.0,3.0,2566.975008,1.168690770518012
E01000064,1.0,0.0,0.0,1.0,4638.283386,0.21559700362818668
E01000065,1.0,0.0,0.0,1.0,4411.873568,0.2266610737109863
E01000066,0.0,0.0,0.0,0.0,4933.670853,0.0
E01000067,0.0,0.0,0.0,0.0,5325.83854,0.0
E01000068,2.0,0.0,0.0,2.0,3001.495658,0.666334463842826
E01000069,0.0,0.0,0.0,0.0,3130.86273,0.0
E01000070,3.0,0.0,0.0,3.0,4424.536142,0.6780371780721686
E01000071,0.0,0.0,0.0,0.0,4675.471547,0.0
E01000072,0.0,0.0,0.0,0.0,4042.458352,0.0
E01000073,0.0,0.0,0.0,0.0,3144.934584,0.0
E01000074,0.0,0.0,0.0,0.0,2528.286621,0.0
E01000075,2.0,0.0,0.0,2.0,4601.247469,0.43466473243932363
E01000076,0.0,0.0,0.0,0.0,2520.278484,0.0
E01000077,1.0,0.0,0.0,1.0,2523.858462,0.3962187321738963
E01000078,0.0,0.0,0.0,0.0,3209.355127,0.0
E01000079,0.0,0.0,0.0,0.0,3209.37448,0.0
E01000080,1.0,0.0,0.0,1.0,2517.700894,0.3971877685642193
E01000081,0.0,0.0,0.0,0.0,2582.197744,0.0
E01000082,0.0,0.0,0.0,0.0,2359.024625,0.0
E01000083,0.0,0.0,0.0,0.0,3388.265269,0.0
E01000084,2.0,0.0,0.0,2.0,2252.603712,0.8878614508826663
E01000085,2.0,0.0,0.0,2.0,2923.361294,0.6841439695137457
E01000086,0.0,0.0,0.0,0.0,2179.784476,0.0
E01000087,5.0,0.0,0.0,5.0,4600.205682,1.0869079223053748
E01000088,6.0,0.0,0.0,6.0,2820.13277,2.1275594056516707
E01000089,0.0,0.0,0.0,0.0,2125.490067,0.0
E01000090,8.0,0.0,0.0,8.0,16990.83735,0.47084200944340154
E01000091,0.0,0.0,0.0,0.0,3236.511778,0.0
E01000093,1.0,0.0,0.0,1.0,4178.77231,0.23930473493541454
E01000094,11.0,0.0,0.0,11.0,7690.6999,1.430298951074661
E01000095,22.0,1.0,0.0,23.0,24335.2938,0.9451293331005521
E01000096,3.0,0.0,0.0,3.0,7269.921945,0.412659176081429
E01000097,7.0,0.0,0.0,7.0,3693.447968,1.8952480339909854
E01000098,6.0,0.0,0.0,6.0,3595.648564,1.668683658373238
E01000099,1.0,0.0,0.0,1.0,4783.118226,0.20906863530243003
E01000100,0.0,0.0,0.0,0.0,2640.888168,0.0
E01000101,2.0,0.0,0.0,2.0,3177.064641,0.6295119004473538
E01000102,1.0,0.0,0.0,1.0,3554.326514,0.28134725272457056
E01000103,5.0,0.0,0.0,5.0,4841.94418,1.0326430487680673
E01000104,1.0,0.0,0.0,1.0,4081.103294,0.24503177889914982
E01000105,2.0,0.0,0.0,2.0,3136.258539,0.637702528388397
E01000106,2.0,0.0,0.0,2.0,4062.713037,0.49228187710664534
E01000107,0.0,0.0,0.0,0.0,3732.952677,0.0
E01000108,0.0,0.0,0.0,0.0,3543.577164,0.0
E01000110,0.0,0.0,0.0,0.0,3258.546869,0.0
E01000111,6.0,0.0,0.0,6.0,5386.790749,1.1138357288361045
E01000112,8.0,0.0,0.0,8.0,4047.254512,1.9766486086506834
E01000113,4.0,0.0,0.0,4.0,3705.352914,1.0795193043250293
E01000114,5.0,0.0,0.0,5.0,4393.074878,1.1381549686392576
E01000115,1.0,0.0,0.0,1.0,4116.401836,0.24293060780764847
E01000116,0.0,0.0,0.0,0.0,6364.887606,0.0
E01000117,0.0,0.0,0.0,0.0,5827.741346,0.0
E01000118,0.0,0.0,0.0,0.0,6290.291787,0.0
E01000119,0.0,0.0,0.0,0.0,4111.203128,0.0
E01000120,0.0,0.0,0.0,0.0,4072.631537,0.0
E01000121,0.0,0.0,0.0,0.0,4937.227779,0.0
E01000122,0.0,0.0,0.0,0.0,4473.845982,0.0
E01000123,0.0,0.0,0.0,0.0,7360.773057,0.0
E01000124,2.0,0.0,0.0,2.0,3447.424264,0.5801432741786839
E01000126,0.0,0.0,0.0,0.0,2861.799623,0.0
E01000127,0.0,0.0,0.0,0.0,2196.890958,0.0
E01000128,0.0,0.0,0.0,0.0,3230.645528,0.0
E01000129,6.0,0.0,0.0,6.0,4100.147879,1.4633618535396244
E01000130,0.0,0.0,0.0,0.0,2728.890662,0.0
E01000131,2.0,0.0,0.0,2.0,3282.072763,0.6093710116810107
E01000132,0.0,0.0,0.0,0.0,2650.610261,0.0
E01000133,0.0,0.0,0.0,0.0,2524.104133,0.0
E01000134,0.0,0.0,0.0,0.0,3228.898707,0.0
E01000135,6.0,0.0,0.0,6.0,3756.95701,1.5970371723790366
E01000136,0.0,0.0,0.0,0.0,5766.907093,0.0
E01000137,2.0,0.0,0.0,2.0,1799.388679,1.1114885979562175
E01000138,5.0,0.0,0.0,5.0,4192.274241,1.1926700670248447
E01000139,7.0,0.0,0.0,7.0,4628.871859,1.5122475223395464
E01000140,4.0,0.0,0.0,4.0,3225.532685,1.2401052448178804
E01000141,12.0,0.0,0.0,12.0,5003.346119,2.398394937026343
E01000142,0.0,0.0,0.0,0.0,4134.112661,0.0
E01000143,0.0,0.0,0.0,0.0,2314.119756,0.0
E01000144,2.0,0.0,0.0,2.0,4056.843994,0.4929940621226659
E01000145,0.0,0.0,0.0,0.0,2922.114327,0.0
E01000146,0.0,0.0,0.0,0.0,4284.083867,0.0
E01000147,0.0,0.0,0.0,0.0,3453.008572,0.0
E01000150,1.0,0.0,0.0,1.0,6037.595668,0.16562884548564968
E01000151,0.0,0.0,0.0,0.0,2227.167493,0.0
E01000152,0.0,0.0,0.0,0.0,3307.32866,0.0
E01000153,0.0,0.0,0.0,0.0,2554.54059,0.0
E01000154,0.0,0.0,0.0,0.0,2330.844974,0.0
E01000156,0.0,0.0,0.0,0.0,3112.57929,0.0
E01000157,0.0,0.0,0.0,0.0,2547.963163,0.0
E01000158,0.0,0.0,0.0,0.0,3094.698164,0.0
E01000159,2.0,0.0,0.0,2.0,4923.504528,0.40621471730674513
E01000160,0.0,0.0,0.0,0.0,4687.925892,0.0
E01000161,0.0,0.0,0.0,0.0,5005.943956,0.0
E01000162,6.0,0.0,0.0,6.0,3959.888393,1.515194218757872
E01000163,0.0,0.0,0.0,0.0,3903.867313,0.0
E01000164,15.0,0.0,0.0,15.0,7945.831072,1.8877823935696176
E01000165,0.0,0.0,0.0,0.0,4103.765278,0.0
E01000166,0.0,0.0,0.0,0.0,4490.513253,0.0
E01000167,0.0,0.0,0.0,0.0,5921.985717,0.0
E01000168,0.0,0.0,0.0,0.0,4214.19405,0.0
E01000169,0.0,0.0,0.0,0.0,3539.112124,0.0
E01000170,1.0,0.0,0.0,1.0,4279.630736,0.23366501964481637
E01000171,4.0,0.0,0.0,4.0,5348.375532,0.7478906400770663
E01000172,0.0,0.0,0.0,0.0,4676.345482,0.0
E01000173,6.0,0.0,0.0,6.0,6173.557724,0.9718869197051019
E01000174,2.0,3.0,0.0,5.0,3625.394502,1.3791602533853018
E01000175,0.0,0.0,0.0,0.0,5968.289781,0.0
E01000176,0.0,0.0,0.0,0.0,4730.555491,0.0
E01000177,0.0,0.0,0.0,0.0,3122.613889,0.0
E01000178,2.0,1.0,0.0,3.0,5217.768593,0.5749584226530684
E01000179,0.0,0.0,0.0,0.0,2291.949914,0.0
E01000180,0.0,0.0,0.0,0.0,3502.361462,0.0
E01000181,4.0,0.0,0.0,4.0,2653.149698,1.5076420312865437
E01000182,2.0,0.0,0.0,2.0,3395.981426,0.5889313718525621
E01000183,3.0,0.0,0.0,3.0,4296.186522,0.6982937041112015
E01000184,8.0,0.0,0.0,8.0,14594.2281,0.548161913407397
E01000185,0.0,0.0,0.0,0.0,2511.811681,0.0
E01000186,2.0,0.0,0.0,2.0,4436.904952,0.4507646707866642
E01000187,0.0,0.0,0.0,0.0,3371.101178,0.0
E01000188,1.0,0.0,0.0,1.0,22138.53865,0.04517009978885847
E01000189,0.0,0.0,0.0,0.0,3683.63705,0.0
E01000190,0.0,0.0,0.0,0.0,3839.217443,0.0
E01000191,5.0,0.0,0.0,5.0,4739.54125,1.05495442201289
E01000192,0.0,0.0,0.0,0.0,5035.088678,0.0
E01000193,1.0,0.0,0.0,1.0,4563.113933,0.2191485934129535
E01000194,9.0,0.0,0.0,9.0,5017.012805,1.7938961588917053
E01000195,0.0,0.0,0.0,0.0,6091.680532,0.0
E01000196,1.0,0.0,0.0,1.0,4902.953992,0.20395867504195828
E01000197,1.0,0.0,0.0,1.0,3671.047695,0.272401799998951
E01000198,4.0,0.0,0.0,4.0,6271.71286,0.6377843006033284
E01000199,0.0,0.0,0.0,0.0,4619.343788,0.0
E01000200,0.0,0.0,0.0,0.0,4891.08737,0.0
E01000201,0.0,0.0,0.0,0.0,6025.396876,0.0
E01000202,0.0,0.0,0.0,0.0,3929.841691,0.0
E01000203,9.0,0.0,0.0,9.0,6060.593503,1.4850030769338005
E01000204,0.0,0.0,0.0,0.0,3724.470154,0.0
E01000205,2.0,0.0,0.0,2.0,4784.200116,0.4180427138303259
E01000206,3.0,0.0,0.0,3.0,12790.14535,0.23455558306067256
E01000207,10.0,0.0,0.0,10.0,5803.955096,1.7229630199744055
E01000208,9.0,0.0,0.0,9.0,7123.427214,1.2634367881673423
E01000209,0.0,0.0,0.0,0.0,4909.024728,0.0
E01000210,1.0,0.0,0.0,1.0,9142.726529,0.1093765625416094
E01000211,7.0,0.0,0.0,7.0,6377.650405,1.0975828958125529
E01000212,0.0,0.0,0.0,0.0,4985.154099,0.0
E01000213,0.0,0.0,0.0,0.0,4255.856203,0.0
E01000214,0.0,0.0,0.0,0.0,3481.449062,0.0
E01000215,2.0,0.0,0.0,2.0,3711.413872,0.5388781927794659
E01000216,0.0,0.0,0.0,0.0,3278.47166,0.0
E01000217,0.0,0.0,0.0,0.0,3346.029688,0.0
E01000218,0.0,0.0,0.0,0.0,3209.702287,0.0
E01000219,0.0,0.0,0.0,0.0,3870.746484,0.0
E01000220,0.0,0.0,0.0,0.0,2511.084065,0.0
E01000221,2.0,1.0,0.0,3.0,9558.715619,0.31384969692338743
E01000222,1.0,0.0,0.0,1.0,4471.58759,0.2236342193623451
E01000223,9.0,1.0,0.0,10.0,8303.028549,1.2043798164712296
E01000224,0.0,0.0,0.0,0.0,2921.431408,0.0
E01000225,5.0,0.0,0.0,5.0,4707.313194,1.0621770411140399
E01000226,0.0,0.0,0.0,0.0,3456.691905,0.0
E01000227,0.0,0.0,0.0,0.0,3777.356807,0.0
E01000228,3.0,0.0,0.0,3.0,14548.83604,0.20620206260843943
E01000229,0.0,0.0,0.0,0.0,3719.646194,0.0
E01000230,0.0,0.0,0.0,0.0,4498.612208,0.0
E01000231,4.0,0.0,0.0,4.0,7391.893011,0.5411333732844257
E01000232,0.0,0.0,0.0,0.0,5685.830591,0.0
E01000233,0.0,0.0,0.0,0.0,4206.911211,0.0
E01000234,0.0,0.0,0.0,0.0,3937.600464,0.0
E01000235,0.0,0.0,0.0,0.0,4646.998468,0.0
E01000236,2.0,0.0,0.0,2.0,4152.101267,0.4816838201648804
E01000237,8.0,0.0,0.0,8.0,4669.755666,1.7131517304528712
E01000238,4.0,0.0,0.0,4.0,4210.543561,0.9499961090653112
E01000239,6.0,0.0,0.0,6.0,8917.401658,0.6728417346343557
E01000240,5.0,0.0,0.0,5.0,7122.841972,0.7019669985175968
E01000241,0.0,0.0,0.0,0.0,4195.443359,0.0
E01000242,6.0,0.0,0.0,6.0,5332.265934,1.1252251996177354
E01000243,4.0,0.0,0.0,4.0,4005.269692,0.9986843103198455
E01000244,0.0,0.0,0.0,0.0,3276.669418,0.0
E01000245,0.0,0.0,0.0,0.0,3341.160935,0.0
E01000246,2.0,0.0,0.0,2.0,6506.895836,0.3073662235277866
E01000247,0.0,0.0,0.0,0.0,3839.756911,0.0
E01000248,3.0,1.0,0.0,4.0,4991.77102,0.801318807287759
E01000249,0.0,0.0,0.0,0.0,5618.931703,0.0
E01000250,11.0,1.0,0.0,12.0,7091.335636,1.692205899701121
E01000251,0.0,0.0,0.0,0.0,5575.966048,0.0
E01000252,0.0,0.0,0.0,0.0,4117.821336,0.0
E01000253,2.0,2.0,0.0,4.0,16370.87466,0.24433636461547498
E01000254,0.0,0.0,0.0,0.0,9032.742978,0.0
E01000255,0.0,0.0,0.0,0.0,8744.06884,0.0
E01000256,0.0,0.0,0.0,0.0,6310.784312,0.0
E01000257,0.0,0.0,0.0,0.0,6662.213227,0.0
E01000258,0.0,0.0,0.0,0.0,9286.641421,0.0
E01000259,0.0,0.0,0.0,0.0,10144.35874,0.0
E01000260,7.0,0.0,0.0,7.0,11620.87033,0.6023645218662379
E01000261,0.0,0.0,0.0,0.0,10603.36814,0.0
E01000263,0.0,0.0,0.0,0.0,5161.32177,0.0
E01000264,7.0,0.0,0.0,7.0,8533.045758,0.8203401456551758
E01000265,0.0,0.0,0.0,0.0,3654.953886,0.0
E01000266,0.0,0.0,0.0,0.0,4581.260928,0.0
E01000267,0.0,0.0,0.0,0.0,4339.109982,0.0
E01000268,4.0,2.0,0.0,6.0,4687.234039,1.2800726292045943
E01000269,1.0,0.0,0.0,1.0,5340.725458,0.18724048031753368
E01000270,1.0,0.0,0.0,1.0,4532.897795,0.22060943026402388
E01000271,0.0,0.0,0.0,0.0,5259.225951,0.0
E01000272,1.0,0.0,0.0,1.0,4538.265608,0.22034849574190019
E01000273,3.0,0.0,0.0,3.0,4917.468956,0.6100699418426588
E01000274,0.0,0.0,0.0,0.0,3917.985698,0.0
E01000275,0.0,0.0,0.0,0.0,3876.051925,0.0
E01000276,0.0,0.0,0.0,0.0,3733.813096,0.0
E01000277,0.0,0.0,0.0,0.0,4074.466466,0.0
E01000278,0.0,0.0,0.0,0.0,3494.66841,0.0
E01000279,0.0,0.0,0.0,0.0,14356.62738,0.0
E01000280,0.0,0.0,0.0,0.0,5094.974202,0.0
E01000281,9.0,0.0,0.0,9.0,5041.417862,1.7852120665969902
E01000282,0.0,0.0,0.0,0.0,5119.242503,0.0
E01000283,0.0,0.0,0.0,0.0,3883.364954,0.0
E01000284,1.0,0.0,0.0,1.0,4612.707245,0.21679242728529155
E01000285,0.0,0.0,0.0,0.0,3608.532188,0.0
E01000286,0.0,0.0,0.0,0.0,3777.252238,0.0
E01000287,0.0,0.0,0.0,0.0,4437.450403,0.0
E01000288,2.0,0.0,0.0,2.0,4065.770949,0.4919116263772586
E01000289,0.0,0.0,0.0,0.0,3481.20653,0.0
E01000290,6.0,0.0,0.0,6.0,9655.931699,0.6213797059709296
E01000291,2.0,0.0,0.0,2.0,3186.868982,0.6275752192187235
E01000292,0.0,0.0,0.0,0.0,4125.205947,0.0
E01000293,1.0,0.0,0.0,1.0,4221.245535,0.23689690441093944
E01000294,0.0,0.0,0.0,0.0,4386.66279,0.0
E01000295,0.0,0.0,0.0,0.0,3781.270083,0.0
E01000296,2.0,0.0,0.0,2.0,4538.17118,0.44070616128675866
E01000297,0.0,0.0,0.0,0.0,3430.351869,0.0
E01000298,0.0,0.0,0.0,0.0,4047.89487,0.0
E01000299,5.0,0.0,0.0,5.0,3269.120726,1.5294632468706206
E01000300,0.0,0.0,0.0,0.0,2865.079465,0.0
E01000301,0.0,0.0,0.0,0.0,4417.566601,0.0
E01000302,3.0,0.0,0.0,3.0,3693.956775,0.8121372779192848
E01000303,0.0,0.0,0.0,0.0,3498.505014,0.0
E01000304,0.0,0.0,0.0,0.0,3045.268455,0.0
E01000305,9.0,0.0,0.0,9.0,7122.488362,1.2636033282998294
E01000306,0.0,0.0,0.0,0.0,2932.302771,0.0
E01000307,11.0,3.0,0.0,14.0,13587.68535,1.0303447304952496
E01000308,0.0,0.0,0.0,0.0,2869.45441,0.0
E01000309,4.0,0.0,0.0,4.0,5678.262529,0.7044408354793771
E01000310,6.0,0.0,0.0,6.0,6537.241526,0.9178183146724386
E01000311,3.0,0.0,0.0,3.0,4591.874613,0.6533279439962791
E01000312,0.0,0.0,0.0,0.0,2324.751017,0.0
E01000313,3.0,0.0,0.0,3.0,4363.756612,0.6874810551418535
E01000314,0.0,0.0,0.0,0.0,4690.836789,0.0
E01000315,0.0,0.0,0.0,0.0,6160.467827,0.0
E01000316,12.0,0.0,0.0,12.0,6663.283587,1.8009138952770793
E01000317,0.0,0.0,0.0,0.0,3371.290445,0.0
E01000318,1.0,0.0,0.0,1.0,3812.16084,0.26231841781366183
E01000319,0.0,0.0,0.0,0.0,2321.890958,0.0
E01000320,0.0,0.0,0.0,0.0,4941.500779,0.0
E01000321,0.0,0.0,0.0,0.0,3309.687427,0.0
E01000322,0.0,0.0,0.0,0.0,4112.354432,0.0
E01000323,3.0,0.0,0.0,3.0,4203.259156,0.7137318658350172
E01000324,0.0,0.0,0.0,0.0,4412.841592,0.0
E01000325,0.0,0.0,0.0,0.0,4494.178705,0.0
E01000326,0.0,0.0,0.0,0.0,4847.146329,0.0
E01000327,0.0,0.0,0.0,0.0,5051.025177,0.0
E01000328,0.0,0.0,0.0,0.0,5981.422449,0.0
E01000329,8.0,0.0,0.0,8.0,4031.797139,1.9842268160307854
E01000330,4.0,0.0,0.0,4.0,4690.638464,0.8527623756764555
E01000331,0.0,0.0,0.0,0.0,6456.971822,0.0
E01000332,0.0,0.0,0.0,0.0,4913.035785,0.0
E01000333,0.0,0.0,0.0,0.0,5371.877277,0.0
E01000334,0.0,0.0,0.0,0.0,3776.2894,0.0
E01000335,6.0,0.0,0.0,6.0,14650.85344,0.40953245656111076
E01000336,0.0,0.0,0.0,0.0,4119.766659,0.0
E01000337,0.0,0.0,0.0,0.0,4506.251911,0.0
E01000338,0.0,0.0,0.0,0.0,3883.986717,0.0
E01000339,0.0,0.0,0.0,0.0,4520.935759,0.0
E01000340,0.0,0.0,0.0,0.0,5013.022914,0.0
E01000341,0.0,0.0,0.0,0.0,4779.264692,0.0
E01000342,0.0,0.0,0.0,0.0,4898.466868,0.0
E01000343,0.0,0.0,0.0,0.0,5025.800512,0.0
E01000344,0.0,0.0,0.0,0.0,4703.624201,0.0
E01000345,0.0,0.0,0.0,0.0,3311.117485,0.0
E01000346,0.0,0.0,0.0,0.0,5884.732803,0.0
E01000347,1.0,0.0,0.0,1.0,5386.32317,0.18565540322007823
E01000348,0.0,0.0,0.0,0.0,3894.894347,0.0
E01000349,1.0,0.0,0.0,1.0,6333.925987,0.15787996292543355
E01000350,0.0,0.0,0.0,0.0,4699.051692,0.0
E01000351,0.0,0.0,0.0,0.0,4868.749693,0.0
E01000352,0.0,0.0,0.0,0.0,8033.961869,0.0
E01000353,0.0,0.0,0.0,0.0,5275.760933,0.0
E01000354,0.0,0.0,0.0,0.0,3299.809879,0.0
E01000355,0.0,0.0,0.0,0.0,4980.67583,0.0
E01000356,0.0,0.0,0.0,0.0,5162.03576,0.0
E01000357,0.0,0.0,0.0,0.0,2594.144172,0.0
E01000358,0.0,0.0,0.0,0.0,4685.846814,0.0
E01000359,0.0,0.0,0.0,0.0,3185.182964,0.0
E01000360,3.0,1.0,0.0,4.0,8287.988126,0.4826261740713309
E01000361,0.0,0.0,0.0,0.0,3692.508778,0.0
E01000362,4.0,0.0,0.0,4.0,7777.59395,0.514297869715865
E01000363,0.0,0.0,0.0,0.0,6266.871594,0.0
E01000364,0.0,0.0,0.0,0.0,7555.738834,0.0
E01000365,0.0,0.0,0.0,0.0,4297.222165,0.0
E01000366,0.0,0.0,0.0,0.0,4800.289886,0.0
E01000367,4.0,0.0,0.0,4.0,4663.720606,0.8576843121463782
E01000368,0.0,0.0,0.0,0.0,2762.499242,0.0
E01000369,0.0,0.0,0.0,0.0,3767.561091,0.0
E01000370,0.0,0.0,0.0,0.0,4768.578809,0.0
E01000371,0.0,0.0,0.0,0.0,3870.390919,0.0
E01000372,0.0,0.0,0.0,0.0,4099.937675,0.0
E01000373,0.0,0.0,0.0,0.0,1385.820834,0.0
E01000374,11.0,0.0,0.0,11.0,9689.969538,1.135194487130492
E01000375,0.0,0.0,0.0,0.0,6616.625636,0.0
E01000376,0.0,0.0,0.0,0.0,5306.519778,0.0
E01000377,0.0,0.0,0.0,0.0,4952.180971,0.0
E01000379,4.0,0.0,0.0,4.0,4849.523608,0.8248232864360971
E01000380,13.0,0.0,0.0,13.0,3946.64026,3.2939409582772563
E01000381,0.0,0.0,0.0,0.0,15351.1759,0.0
E01000382,0.0,0.0,0.0,0.0,4927.771323,0.0
E01000383,0.0,0.0,0.0,0.0,22711.64123,0.0
E01000384,0.0,0.0,0.0,0.0,3745.261839,0.0
E01000385,3.0,0.0,0.0,3.0,6366.755843,0.471197588533002
E01000386,3.0,0.0,0.0,3.0,7672.825659,0.39099024705208674
E01000387,0.0,0.0,0.0,0.0,4148.563167,0.0
E01000388,1.0,0.0,0.0,1.0,5481.662314,0.18242641423679642
E01000389,5.0,0.0,0.0,5.0,5367.247021,0.9315762774541395
E01000390,2.0,0.0,0.0,2.0,6342.836032,0.31531636477907926
E01000391,2.0,0.0,0.0,2.0,4750.616928,0.42099795254213346
E01000392,1.0,0.0,0.0,1.0,4524.907926,0.22099897199101595
E01000393,0.0,0.0,0.0,0.0,4971.902801,0.0
E01000394,0.0,0.0,0.0,0.0,4485.039788,0.0
E01000395,0.0,0.0,0.0,0.0,4014.621978,0.0
E01000396,0.0,0.0,0.0,0.0,4340.723485,0.0
E01000398,0.0,0.0,0.0,0.0,3595.431697,0.0
E01000399,3.0,0.0,0.0,3.0,4734.449542,0.6336533895623044
E01000400,1.0,0.0,0.0,1.0,3945.727555,0.25343868426313587
E01000401,0.0,0.0,0.0,0.0,4821.795053,0.0
E01000402,0.0,0.0,0.0,0.0,4904.132492,0.0
E01000403,5.0,0.0,0.0,5.0,10720.31115,0.4664043729738199
E01000404,0.0,0.0,0.0,0.0,3607.928195,0.0
E01000405,0.0,0.0,0.0,0.0,5611.801417,0.0
E01000406,0.0,0.0,0.0,0.0,6635.642119,0.0
E01000407,0.0,0.0,0.0,0.0,5485.372246,0.0
E01000408,5.0,0.0,0.0,5.0,11996.38012,0.41679239487119557
E01000409,2.0,0.0,0.0,2.0,3073.471879,0.650729884228103
E01000410,1.0,1.0,0.0,2.0,5855.864986,0.34153792903038765
E01000411,0.0,0.0,0.0,0.0,4398.730943,0.0
E01000412,0.0,0.0,0.0,0.0,5804.054639,0.0
E01000413,0.0,1.0,0.0,1.0,6253.35654,0.15991411869824393
E01000414,11.0,0.0,0.0,11.0,5455.584735,2.016282494785593
E01000415,2.0,0.0,0.0,2.0,3156.505203,0.6336121347429313
E01000416,4.0,0.0,0.0,4.0,3757.811239,1.0644494216437677
E01000417,1.0,0.0,0.0,1.0,6495.679224,0.15394848875930267
E01000418,0.0,0.0,0.0,0.0,5719.297122,0.0
E01000419,0.0,0.0,0.0,0.0,4567.01501,0.0
E01000420,0.0,0.0,0.0,0.0,3868.000458,0.0
E01000421,0.0,0.0,0.0,0.0,4171.644607,0.0
E01000422,1.0,0.0,0.0,1.0,2096.754207,0.4769276230191916
E01000423,0.0,0.0,0.0,0.0,5337.732676,0.0
E01000424,0.0,0.0,0.0,0.0,4863.056554,0.0
E01000425,0.0,0.0,0.0,0.0,5111.006072,0.0
E01000426,0.0,0.0,0.0,0.0,5257.964495,0.0
E01000427,0.0,0.0,0.0,0.0,5969.074594,0.0
E01000428,3.0,2.0,0.0,5.0,12861.48187,0.3887576914183373
E01000429,0.0,0.0,0.0,0.0,3606.66303,0.0
E01000430,0.0,0.0,0.0,0.0,11047.56247,0.0
E01000431,1.0,0.0,0.0,1.0,3204.595104,0.3120519028290945
E01000433,2.0,0.0,0.0,2.0,4355.474101,0.45919226096208626
E01000434,0.0,0.0,0.0,0.0,8234.563089,0.0
E01000435,4.0,0.0,0.0,4.0,3430.024567,1.166172405435136
E01000436,0.0,0.0,0.0,0.0,4600.62147,0.0
E01000437,0.0,0.0,0.0,0.0,3206.432109,0.0
